origin,origin_avg_dep_delay,origin_avg_taxi_out,origin_avg_wheels_off,origin_avg_wheels_on,origin_avg_taxi_in,origin_avg_arr_delay,origin_avg_crs_elapsed_time,origin_avg_actual_elapsed_time,origin_avg_air_time,origin_avg_carrier_delay,origin_avg_weather_delay,origin_avg_nas_delay,origin_avg_security_delay,origin_avg_late_aircraft_delay,origin_avg_total_add_gtime,origin_avg_longest_add_gtime
EVV,1.03163819875776,18.1825212683681,1119.93503480278,1281.91531322506,11.9467324052591,-2.84474091260634,99.6033449342614,95.7309551430781,65.6017014694509,8.66601689408707,1.13775178687459,15.9655620532814,0.0441845354126056,19.7881741390513,30.8780487804878,30.7560975609756
EWN,2.37780985770262,14.1884266886326,1200.17792421746,1298.43513179572,10.0644563426689,-3.47014003294893,89.4419275123558,83.5974052718287,59.3445222405272,8.36842105263158,2.68421052631579,6.52631578947368,0.00657894736842105,29.0230263157895,22.6,22.6
EWR,8.36270887407332,24.1435851156226,1390.29121430898,1485.02606937358,7.39691672999674,2.74089743241776,180.746091629573,175.122116219737,143.581614374118,12.1252729571314,1.0576801517067,13.0095104011033,0.0340765429261004,21.6046718767958,30.3205221174764,30.2987672226251
EYW,2.06,11.5831,1373.5596,1511.5384,10.0139,-1.3354,115.6712,112.2758,90.6788,6.73891625615764,1.57142857142857,16.7044334975369,0.0253342716396904,19.8965517241379,28.2692307692308,28.2692307692308
FAI,-4.68826638477801,13.0448202959831,1180.04154334038,1252.32906976744,6.52610993657505,-8.90845665961945,138.541649048626,134.327801268499,114.756871035941,10.0013315579228,1.19973368841545,9.28761651131824,0.0772303595206391,18.4900133155792,14.8958333333333,14.8958333333333
FAR,2.54278585057977,18.2141442300638,1216.30606705304,1322.487198298,9.92942557405913,-1.21788570170934,114.154500770303,110.395422199398,82.2518523952755,8.44989154013015,2.70281995661605,15.2720173535792,0.2,18.2984815618221,29.7894736842105,29.7894736842105
FAT,2.35426913860512,15.1519317274141,1206.94122840207,1343.08088451675,9.64140076512381,-1.16656156724261,105.576281161979,102.055450456131,77.2621179635936,11.6627099015634,0.597568037058483,15.0055008685582,0.0298204979733642,19.3905616676317,24.3978494623656,24.3978494623656
FAY,3.7357494299772,15.9944982657577,1252.69967707212,1331.92548738189,9.79990431766535,-2.02152852529602,79.0797751465136,73.3350077741897,47.5406051907667,6.40625,1.4775641025641,8.81810897435897,0.0288461538461538,25.0584935897436,28.8636363636364,28.8636363636364
FCA,0.0620900248812486,16.4952499434517,1296.74734223026,1439.97048179145,8.56141144537435,-3.47964261479303,127.288622483601,123.746889843927,98.6902284551007,6.62822719449226,1.37521514629948,16.1678141135972,0.0137693631669535,18.9509466437177,32.48,32.48
FLG,-0.623155505107832,18.6186152099887,1193.77866061294,1308.41203178207,9.32009080590238,-6.31895573212259,80.9012485811578,75.205448354143,47.266742338252,13.0,4.15027322404372,13.8060109289617,0.155737704918033,19.7049180327869,39.9,39.9
FLL,7.05562821286159,17.3925214188486,1408.77298956415,1495.45165612406,7.87046200656578,1.63912776576721,169.475938826167,164.059513705394,138.79653027998,13.2071746917125,1.89363738276871,15.0734421567823,0.226888688376671,14.6622098269215,22.4777142857143,22.4045714285714
FLO,3.49163179916318,17.207949790795,1220.52426778243,1269.29037656904,12.7167364016736,-2.46694560669456,65.4025104602511,59.4439330543933,29.5192468619247,6.47792207792208,1.34285714285714,8.75584415584416,0.0311688311688312,22.5454545454545,19.5,19.5
FNT,1.40712126301646,14.5726591341313,1233.54189506656,1293.49748293993,10.3592124398702,-2.58832084125741,104.921467725696,100.9272849312,75.9954133571988,6.65926986399427,1.39012168933429,15.2254831782391,0.0100214745884037,21.1524695776664,25.92,25.92
FSD,3.12685655500547,18.5690863499003,1225.95531408731,1322.26490066225,10.9999357037228,0.0623030926509355,110.703594161898,107.639040699544,78.0700186459204,7.67849613492621,2.03724525650035,15.3510189739986,0.0962754743499649,20.4089950808152,30.4102564102564,30.4102564102564
FSM,1.32100628930818,14.5555555555556,1189.01608848668,1316.01935646053,12.1256913021619,-1.61639014580191,85.6204122674711,82.684012066365,56.0027652086476,5.96698113207547,3.36163522012579,10.311320754717,0.0,23.4937106918239,25.2307692307692,25.2307692307692
FWA,2.56945321822138,17.2138695865796,1122.86495402541,1189.40240050537,10.4298448796238,-2.55485365340072,102.236611216396,97.1123043447743,69.4685898785709,12.8597122302158,1.68705035971223,13.3844424460432,0.0184352517985612,17.1969424460432,32.2372881355932,32.2372881355932
GCC,-2.47846255798542,18.3949635520212,1035.05897945659,1123.16567263088,10.5904572564612,-2.87740225314778,83.2697150430749,82.8707753479125,53.8853545394301,6.68229166666667,2.05208333333333,14.4114583333333,0.0,20.9010416666667,17.6666666666667,17.6666666666667
GCK,1.20955882352941,12.6455882352941,1046.00147058824,1150.20073529412,9.60808823529412,-1.89779411764706,88.8838235294118,85.7764705882353,63.5227941176471,9.50282485875706,3.96045197740113,12.8305084745763,0.0903954802259887,17.3446327683616,21.5,21.5
GEG,1.14339534339534,14.5652743652744,1185.41715221715,1330.76454896455,7.72504972504973,-2.05756405756406,103.789680589681,100.597121797122,78.3067977067977,6.92375671460752,0.828799168255068,15.5442730895859,0.0282446716340322,16.0084907295096,22.4117647058824,22.4117647058824
GFK,-0.125998003992016,17.3467862481315,1214.50498256104,1299.17737917289,6.49825610363727,-6.34005979073244,92.0510712506228,85.8368211260588,61.99177877429,9.81531531531532,4.12162162162162,10.2725225225225,0.268018018018018,21.1441441441441,48.6666666666667,48.6666666666667
GGG,0.0513905683192261,13.4733978234583,1227.31801692866,1286.3984280532,12.5816203143894,-2.13059250302297,62.9401451027811,60.7581620314389,34.7031438935913,7.31718061674009,2.97797356828194,12.6651982378855,0.242290748898678,20.2907488986784,28.0,28.0
GJT,-1.531429201588,15.7112924569916,1189.285399206,1298.35046316718,9.08711954124393,-4.31396118217909,88.5538156153507,85.7712836347596,60.972871636524,8.42959183673469,2.65612244897959,12.2071428571429,0.0173469387755102,20.4683673469388,23.0588235294118,23.0588235294118
GNV,3.43336581141063,13.4260239922187,1224.6781584351,1320.13952231709,10.7538095752729,0.793904679563385,88.2295471738895,85.5960229114882,61.4161893439965,9.30982019363762,2.83125864453665,9.33609958506224,0.024896265560166,23.0726141078838,19.5833333333333,19.5833333333333
GPT,0.887731897067624,14.5257867655857,1163.6963025009,1328.17219097762,11.499581189422,-1.5156156515496,96.5875314107933,94.1843963144669,68.1590283594591,8.44,1.51826086956522,14.2226086956522,0.0269565217391304,21.2382608695652,28.8888888888889,28.8888888888889
GRB,0.49167239010989,15.6813696043937,1193.03990388741,1305.00343259247,11.6294516433536,-3.00274607397237,81.7027374924912,78.2085299922767,50.8977087445293,6.12880143112701,1.47763864042934,14.7090041741205,0.0232558139534884,22.8604651162791,30.5135135135135,30.5135135135135
GRI,3.22038152610442,13.3519076305221,1180.13554216867,1297.28765060241,9.61646586345381,-0.736947791164659,121.899096385542,117.941767068273,94.9733935742972,11.2584269662921,4.64044943820225,12.2275280898876,0.280898876404494,14.3370786516854,47.0,47.0
GRK,0.889861294583884,16.4823315719947,1242.09940554822,1298.57942536328,9.47457067371202,-2.27163143989432,62.5733157199472,59.411822985469,33.4549207397622,6.31062355658199,1.28521939953811,13.3175519630485,0.0519630484988453,20.5415704387991,30.7777777777778,30.7777777777778
GRR,3.50222010385571,16.0709755058039,1267.95913455512,1337.70614485923,9.8255822699125,-0.815453656579838,108.900744603505,104.587334219169,78.6907764434527,7.5809328849247,1.80874396841644,15.6256762684603,0.0210557098991081,19.7600526392747,28.032967032967,28.032967032967
GSO,3.24064106440883,18.245375967118,1223.83265836557,1316.58625483559,9.49652441972921,-2.59501934235977,98.9778167311412,93.1441912475822,65.402290860735,7.94178794178794,1.08864108864109,18.974484974485,0.027972027972028,19.2120582120582,28.7454545454545,28.7454545454545
GSP,3.4253312788906,16.0966360667858,1229.01986938574,1314.68095003389,10.3469287166533,-1.67617522025753,98.4309346312612,93.3303862978251,66.8868215143861,8.54668860551213,1.43603455368161,14.9097079391197,0.0197449609214315,20.9152612093789,29.0265486725664,29.0265486725664
GST,-6.65030674846626,10.4294478527607,1796.42944785276,1820.11042944785,3.91411042944785,-4.20245398773006,26.0061349693252,28.4539877300613,14.1104294478528,0.8,1.88,8.04,1.08,22.84,4.0,4.0
GTF,-0.578921244209133,13.7059894109861,1137.38583719391,1272.91346790205,8.40155526141628,-4.31121773659828,115.838021178028,112.105724685639,89.9981800132363,6.96495619524405,1.55944931163955,16.377972465582,0.0137672090112641,15.8585732165207,25.7619047619048,25.7619047619048
GTR,1.52098066949552,16.9416195856874,1137.79896421846,1313.23210922787,10.4171374764595,-4.32344632768362,79.3375706214689,73.5075329566855,46.1487758945386,5.5703125,2.66796875,11.02734375,0.41015625,25.125,48.25,48.25
GUC,3.06859448554136,15.0632145258911,1289.19098856759,1407.89038332212,10.3187626092804,0.0262273032952253,83.5998655010087,80.5574983187626,55.1755211835911,5.54071661237785,2.44951140065147,11.3745928338762,0.0,28.8273615635179,30.8,30.8
GUM,-1.90257352941176,12.3428308823529,953.590533088235,1325.06571691176,4.66544117647059,-2.62132352941176,172.988970588235,172.270220588235,155.261948529412,23.2222222222222,0.764957264957265,7.18376068376068,0.0,1.92735042735043,21.7,21.7
HDN,1.27272727272727,19.8515457606367,1270.02050811142,1447.33792470156,10.0902969084787,-2.541169268442,117.10927456382,113.295378022651,83.3535353535353,8.24802527646129,1.15323854660348,15.2875197472354,0.0,21.1216429699842,36.0833333333333,36.0833333333333
HGR,11.1543624161074,8.60402684563758,1435.64765100671,1558.90604026846,6.21476510067114,8.35906040268456,126.375838926174,123.580536912752,108.761744966443,5.85897435897436,4.30769230769231,8.37179487179487,1.19230769230769,26.6538461538462,,
HHH,0.940793754066363,17.4294079375407,1181.22999349382,1267.80156148341,10.8334417696812,0.165582303188029,81.718932986337,80.9437215354587,52.6808718282368,7.26122448979592,1.87142857142857,14.8448979591837,0.161224489795918,18.5959183673469,50.3333333333333,50.3333333333333
