dest,dest_avg_dep_delay,dest_avg_taxi_out,dest_avg_wheels_off,dest_avg_wheels_on,dest_avg_taxi_in,dest_avg_arr_delay,dest_avg_crs_elapsed_time,dest_avg_actual_elapsed_time,dest_avg_air_time,dest_avg_carrier_delay,dest_avg_weather_delay,dest_avg_nas_delay,dest_avg_security_delay,dest_avg_late_aircraft_delay,dest_avg_total_add_gtime,dest_avg_longest_add_gtime
BTV,12.430258302583,23.2719225929622,1504.28242287499,1558.48128040306,5.32157748436414,8.39621407074628,99.8140103749315,96.0260774923814,67.4376578145407,22.6642941874259,4.92447607750099,11.4800316330565,0.0130486358244365,33.1344404903124,50.8907103825137,49.6775956284153
BUF,12.3488327155831,20.0344797302045,1466.14689454086,1461.19498435907,4.57941724368212,6.9208464639707,107.171829009515,102.046134356195,77.4350564802759,24.550143025408,3.2037691401649,9.72025912838634,0.110466094565034,30.6118963486455,49.9811764705882,49.4047058823529
BUR,8.68909733550843,14.3102627732264,1404.3961314886,1498.37341158459,3.21226503359701,4.0280271923398,100.032941137423,95.6272468607841,78.1158400490689,19.29593605547,1.24845916795069,6.06221109399076,0.175173343605547,26.3123073959938,32.2151898734177,30.6455696202532
BWI,9.4445986438985,14.2108931101559,1341.04911505487,1413.98400326758,5.45048893587372,2.37222350652103,132.445785959298,125.610083790812,105.955557160744,17.7244191144235,2.47800672219787,13.5451410200205,0.147099225485898,24.7166447464562,33.916742081448,33.5393665158371
BZN,8.28394593911835,19.3091839312784,1388.47353461344,1480.43149646107,5.2197295247725,2.54329210275928,137.339588301745,131.654741516016,107.139993656835,20.4845735027223,4.66569872958258,9.5557168784029,0.117241379310345,23.8736842105263,31.990099009901,31.9108910891089
CAE,11.4366581896958,20.7569146680488,1603.18659002026,1604.41471461564,4.73870009897723,7.21723323890463,87.0083410138249,82.6270770392749,57.1436933534743,22.9133440884997,4.76261811477299,9.66997003917953,0.0274256741184605,32.3021433510025,49.9333333333333,49.7866666666667
CAK,17.6924038762113,21.310996993988,1595.968499499,1682.84168964653,5.65473802958135,14.1544592983117,96.2346511204227,92.8701054216867,65.9026731927711,24.0074716799229,5.22656061701615,10.4948180284406,0.0404916847433116,37.4087731983611,52.0691823899371,51.2955974842767
CDC,0.463537906137184,19.9783393501805,1385.20866425993,1439.64234104046,3.17846820809249,2.34492753623188,58.1465703971119,60.3072463768116,37.1601449275362,16.5028248587571,5.63841807909604,16.3220338983051,0.0,6.9774011299435,17.5,17.5
CDV,-1.37245256500351,12.8854532677442,1358.7266338721,1421.52330508475,3.87429378531073,1.78995756718529,48.4875173370319,51.9130127298444,35.1874115983027,15.304347826087,1.76521739130435,8.57391304347826,0.0,18.2652173913043,9.17647058823529,9.17647058823529
CGI,12.5563709139426,17.704469646431,1574.18945963976,1595.69025367156,4.99065420560748,5.35747820254863,65.8900889453621,59.0784708249497,36.4071093226023,39.0615384615385,5.63692307692308,6.59076923076923,0.0,39.0892307692308,27.5714285714286,27.5714285714286
