tail_num,tail_num_avg_dep_delay,tail_num_avg_taxi_out,tail_num_avg_wheels_off,tail_num_avg_wheels_on,tail_num_avg_taxi_in,tail_num_avg_arr_delay,tail_num_avg_crs_elapsed_time,tail_num_avg_actual_elapsed_time,tail_num_avg_air_time,tail_num_avg_carrier_delay,tail_num_avg_weather_delay,tail_num_avg_nas_delay,tail_num_avg_security_delay,tail_num_avg_late_aircraft_delay,tail_num_avg_total_add_gtime,tail_num_avg_longest_add_gtime
N284JN,2.31210191082803,18.828025477707,1321.0127388535,1439.14968152866,8.63057324840764,-0.267515923566879,124.417197452229,121.837579617834,94.3789808917197,4.87272727272727,1.56363636363636,12.9636363636364,0.0,17.2,,
N284SY,8.36009307737056,20.543339150669,1338.12972658522,1473.11343804538,7.26236183827807,1.18324607329843,130.105875509017,122.929028504945,95.1233275159977,8.43131868131868,3.57417582417582,13.9945054945055,0.0,22.6868131868132,27.6363636363636,27.6363636363636
N284VA,4.45415036940461,21.1899174272056,1386.05910473707,1493.24119947849,9.2316384180791,1.5206431986093,207.308126901347,204.374619730552,173.953063885267,10.7868525896414,0.609561752988048,18.6653386454183,0.199203187250996,10.5,13.8666666666667,13.8666666666667
N284WN,9.13984375,12.2708333333333,1381.94973958333,1445.44036458333,5.2546875,2.57265625,116.255208333333,109.688020833333,92.1625,12.7938829787234,0.550531914893617,6.59441489361702,0.184840425531915,20.813829787234,9.8,9.8
N28529,-3.78977272727273,16.2130681818182,1331.96306818182,1420.57670454545,7.0625,-6.87784090909091,78.3863636363636,75.2982954545455,52.0227272727273,9.25806451612903,1.54838709677419,28.0322580645161,0.0,4.80645161290323,14.0,14.0
N285AK,1.46172718351325,19.8120706575074,1342.71099116781,1469.56476938175,8.74582924435721,-3.2909715407262,229.16339548577,224.410696761531,195.852796859666,6.95569620253165,0.458860759493671,18.0854430379747,0.0537974683544304,10.6455696202532,17.875,17.875
N285AY,4.42244224422442,21.8019801980198,1306.16501650165,1614.16171617162,8.64026402640264,-3.0,229.029702970297,221.607260726073,191.16501650165,23.3703703703704,0.388888888888889,13.8148148148148,0.0,5.96296296296296,37.0,37.0
N285NN,4.66814159292035,20.5088495575221,1319.8407079646,1429.69469026549,8.94690265486726,1.76991150442478,118.314159292035,115.41592920354,85.9601769911504,9.27906976744186,2.48837209302326,13.953488372093,0.0,15.2093023255814,23.0,23.0
N285SY,6.91213618890719,20.4695222405272,1354.99560680945,1487.68588687534,7.07084019769357,-0.923119165293795,128.120812740253,120.285557386052,92.7451949478309,9.71940298507463,2.37313432835821,14.5134328358209,0.0,19.2179104477612,22.0,22.0
N285VA,5.94877711121366,21.3470235348408,1386.89755422243,1493.00323027227,9.34471619750808,3.17535763728657,214.005537609599,211.232118135671,180.540378403323,11.0390625,0.349609375,18.45703125,0.044921875,13.044921875,18.7142857142857,18.7142857142857
